Provider Number,Hospital Name,Address 1,Address 2,Address 3,City,State,ZIP Code,County,Phone Number,Hospital Type,Hospital Ownership,Emergency Services,Full Address,Latitude,Longitude,Services,Insurance Coverage
010001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,,,DOTHAN,AL,36301,HOUSTON,3347938701,Acute Care Hospitals,Government - Hospital District or Authority,Yes,"1108 ROSS CLARK CIRCLE, DOTHAN, AL, 36301",31.21610655,-85.36308642,Broken Hand,State Farm Group
010005,MARSHALL MEDICAL CENTER SOUTH,2505 U S HIGHWAY 431 NORTH,,,BOAZ,AL,35957,MARSHALL,2565938310,Acute Care Hospitals,Government - Hospital District or Authority,Yes,"2505 U S HIGHWAY 431 NORTH, BOAZ, AL, 35957",,,Stitches,UnitedHealth Group
010006,ELIZA COFFEE MEMORIAL HOSPITAL,205 MARENGO STREET,,,FLORENCE,AL,35631,LAUDERDALE,2567688400,Acute Care Hospitals,Government - Hospital District or Authority,Yes,"205 MARENGO STREET, FLORENCE, AL, 35631",34.795057823366264,-87.6849741,Flu Shots,Progressive Corporation
010007,MIZELL MEMORIAL HOSPITAL,702 N MAIN ST,,,OPP,AL,36467,COVINGTON,3344933541,Acute Care Hospitals,Voluntary non-profit - Private,Yes,"702 N MAIN ST, OPP, AL, 36467",31.2928787,-86.2549003,Physical Therapy,Allstate Corporation
010008,CRENSHAW COMMUNITY HOSPITAL,101 HOSPITAL CIRCLE,,,LUVERNE,AL,36049,CRENSHAW,3343353374,Acute Care Hospitals,Proprietary,Yes,"101 HOSPITAL CIRCLE, LUVERNE, AL, 36049",31.6937493,-86.2647016,Cardiac Care,Liberty Mutual Insurance
010009,HARTSELLE MEDICAL CENTER,201 PINE STREET NORTHWEST,,,HARTSELLE,AL,35640,MORGAN,2567736511,Acute Care Hospitals,Proprietary,Not Available,"201 PINE STREET NORTHWEST, HARTSELLE, AL, 35640",34.445829529209334,-86.93591558,Cancer Treatment,Travelers Companies
010010,MARSHALL MEDICAL CENTER NORTH,8000 ALABAMA HIGHWAY 69,,,GUNTERSVILLE,AL,35976,MARSHALL,2565718000,Acute Care Hospitals,Government - Hospital District or Authority,Yes,"8000 ALABAMA HIGHWAY 69, GUNTERSVILLE, AL, 35976",,,Emergency Surgery,Humana Inc.
010011,ST VINCENT'S EAST,50 MEDICAL PARK EAST DRIVE,,,BIRMINGHAM,AL,35235,JEFFERSON,2058383122,Acute Care Hospitals,Voluntary non-profit - Private,Yes,"50 MEDICAL PARK EAST DRIVE, BIRMINGHAM, AL, 35235",33.595315299999996,-86.66763067,Orthopedics,Cigna Corporation
010012,DEKALB REGIONAL MEDICAL CENTER,200 MED CENTER DRIVE,,,FORT PAYNE,AL,35968,DE KALB,2568453150,Acute Care Hospitals,Proprietary,Yes,"200 MED CENTER DRIVE, FORT PAYNE, AL, 35968",34.44201305,-85.756881,Pediatrics,Kaiser Permanente
010015,SOUTHWEST ALABAMA MEDICAL CENTER,33700 HIGHWAY 43,,,THOMASVILLE,AL,36784,CLARKE,3346366221,Acute Care Hospitals,Proprietary,Not Available,"33700 HIGHWAY 43, THOMASVILLE, AL, 36784",,,Dermatology,State Farm Group
010016,SHELBY BAPTIST MEDICAL CENTER,1000 FIRST STREET NORTH,,,ALABASTER,AL,35007,SHELBY,2056208100,Acute Care Hospitals,Voluntary non-profit - Church,Yes,"1000 FIRST STREET NORTH, ALABASTER, AL, 35007",,,Psychiatry,UnitedHealth Group
010018,CALLAHAN EYE FOUNDATION HOSPITAL,1720 UNIVERSITY BLVD,,,BIRMINGHAM,AL,35233,JEFFERSON,2053258100,Acute Care Hospitals,Voluntary non-profit - Private,Yes,"1720 UNIVERSITY BLVD, BIRMINGHAM, AL, 35233",33.5016153,-86.80604756,Neurology,Progressive Corporation
010019,HELEN KELLER MEMORIAL HOSPITAL,1300 SOUTH MONTGOMERY AVENUE,,,SHEFFIELD,AL,35660,COLBERT,2563864556,Acute Care Hospitals,Government - Hospital District or Authority,Yes,"1300 SOUTH MONTGOMERY AVENUE, SHEFFIELD, AL, 35660",34.746119,-87.70076057,Dental Care,Allstate Corporation
010021,DALE MEDICAL CENTER,126 HOSPITAL AVE,,,OZARK,AL,36360,DALE,3347742601,Acute Care Hospitals,Government - Hospital District or Authority,Yes,"126 HOSPITAL AVE, OZARK, AL, 36360",31.4511675,-85.63206235,Vision Care,Liberty Mutual Insurance
